Tratamentos,Tempos,Repetição,Punção
0.0,0.0,1.0,0.067646668
0.0,0.0,2.0,0.058327189
0.0,0.0,3.0,0.099185142
0.0,0.0,4.0,0.102532781
0.0,0.0,5.0,0.076675287
0.0,0.0,6.0,0.12096029
0.0,0.0,7.0,0.067809587
0.0,1.0,1.0,0.186726834
0.0,1.0,2.0,0.130582099
0.0,1.0,3.0,0.161071508
0.0,1.0,4.0,0.059491986
0.0,1.0,5.0,0.088253723
0.0,1.0,6.0,0.14105252
0.0,1.0,7.0,0.23887754049494947
0.0,2.0,1.0,0.146107544
0.0,2.0,2.0,0.148080722
0.0,2.0,3.0,0.076545911
0.0,2.0,4.0,0.144388278
0.0,2.0,5.0,0.186650774
0.0,2.0,6.0,0.145988042
0.0,2.0,7.0,0.169469718
0.0,2.0,8.0,0.099800409
0.0,2.0,9.0,0.157544127
0.0,3.0,1.0,0.234579676
0.0,3.0,2.0,0.214776228
0.0,3.0,3.0,1.0
0.0,3.0,4.0,0.25712973
0.0,3.0,5.0,0.110250726
0.0,3.0,6.0,0.179949132
0.0,3.0,7.0,0.23887754049494947
0.0,4.0,1.0,0.275996113
0.0,4.0,2.0,0.236416766
0.0,4.0,3.0,0.227464838
0.0,4.0,4.0,0.23887754049494947
0.0,4.0,5.0,0.23887754049494947
0.0,4.0,6.0,0.23887754049494947
0.0,4.0,7.0,0.23887754049494947
0.0,5.0,1.0,0.466798755
0.0,5.0,2.0,0.60087234
0.0,5.0,3.0,0.61713456
0.0,5.0,4.0,0.23887754049494947
0.0,5.0,5.0,0.23887754049494947
0.0,5.0,6.0,0.23887754049494947
0.0,5.0,7.0,0.23887754049494947
0.0,6.0,1.0,0.937797721
0.0,6.0,2.0,0.300016139
0.0,6.0,3.0,0.466201049
0.0,6.0,4.0,0.23887754049494947
0.0,6.0,5.0,0.23887754049494947
0.0,6.0,6.0,0.23887754049494947
0.0,6.0,7.0,0.23887754049494947
1.0,1.0,1.0,0.107234703
1.0,1.0,2.0,0.052521716
1.0,1.0,3.0,0.100128293
1.0,1.0,4.0,0.109922765
1.0,1.0,5.0,0.268131009
1.0,1.0,6.0,0.202762343
1.0,1.0,7.0,0.23887754049494947
1.0,2.0,1.0,0.13705295
1.0,2.0,2.0,0.083442782
1.0,2.0,3.0,0.117854821
1.0,2.0,4.0,0.075496137
1.0,2.0,5.0,0.129782352
1.0,2.0,6.0,0.113840612
1.0,2.0,7.0,0.140993521
1.0,2.0,8.0,0.176704129
1.0,2.0,9.0,0.161929723
1.0,3.0,1.0,0.223666298
1.0,3.0,2.0,0.110279442
1.0,3.0,3.0,0.175815223
1.0,3.0,4.0,0.203467091
1.0,3.0,5.0,0.27080911
1.0,3.0,6.0,0.134990435
1.0,3.0,7.0,0.23887754049494947
1.0,4.0,1.0,0.249172212
1.0,4.0,2.0,0.188730588
1.0,4.0,3.0,0.386486574
1.0,4.0,4.0,0.23887754049494947
1.0,4.0,5.0,0.23887754049494947
1.0,4.0,6.0,0.23887754049494947
1.0,4.0,7.0,0.23887754049494947
1.0,5.0,1.0,0.525457371
1.0,5.0,2.0,0.461302679
1.0,5.0,3.0,0.254161583
1.0,5.0,4.0,0.23887754049494947
1.0,5.0,5.0,0.23887754049494947
1.0,5.0,6.0,0.23887754049494947
1.0,5.0,7.0,0.23887754049494947
1.0,5.0,1.0,0.255771592
1.0,5.0,2.0,0.419044971
1.0,5.0,3.0,0.610490754
1.0,5.0,4.0,0.247172316
1.0,5.0,5.0,0.354530702
1.0,5.0,6.0,0.291336293
1.0,5.0,7.0,0.391256098
2.0,1.0,1.0,0.091397682
2.0,1.0,2.0,0.134500673
2.0,1.0,3.0,0.121824287
2.0,1.0,4.0,0.082944251
2.0,1.0,5.0,0.118560385
2.0,1.0,6.0,0.098533098
2.0,1.0,7.0,0.23887754049494947
2.0,2.0,1.0,0.101880621
2.0,2.0,2.0,0.098012664
2.0,2.0,3.0,0.114817419
2.0,2.0,4.0,0.23887754049494947
2.0,2.0,5.0,0.23887754049494947
2.0,2.0,6.0,0.23887754049494947
2.0,2.0,7.0,0.23887754049494947
2.0,3.0,1.0,0.142579271
2.0,3.0,2.0,0.273883309
2.0,3.0,3.0,0.104332256
2.0,3.0,4.0,0.48344525
2.0,3.0,5.0,0.282753529
2.0,3.0,6.0,0.178872896
2.0,3.0,7.0,0.23887754049494947
2.0,4.0,1.0,0.158279168
2.0,4.0,2.0,0.103540675
2.0,4.0,3.0,0.131699723
2.0,4.0,4.0,0.23887754049494947
2.0,4.0,5.0,0.23887754049494947
2.0,4.0,6.0,0.23887754049494947
2.0,4.0,7.0,0.23887754049494947
2.0,5.0,1.0,0.348879703
2.0,5.0,2.0,0.264522706
2.0,5.0,3.0,0.390630435
2.0,5.0,4.0,0.23887754049494947
2.0,5.0,5.0,0.23887754049494947
2.0,5.0,6.0,0.23887754049494947
2.0,5.0,7.0,0.23887754049494947
2.0,6.0,1.0,0.284660974
2.0,6.0,2.0,0.599964333
2.0,6.0,3.0,0.882929368
2.0,6.0,4.0,0.249035682
2.0,6.0,5.0,0.78095227
2.0,6.0,6.0,0.288080542
2.0,6.0,7.0,0.245349239
