Tratamentos,Repetição,deformação_0,deformação_30,deformação_60,deformação_90,deformação_120
0.0,1.0,0.041447895,0.014342474,0.015789737,0.0,0.0
0.0,2.0,0.041973211,0.029341895,0.017368105,0.0,0.0
0.0,3.0,0.029605526,0.023289737,0.002237316,0.0,0.0
0.0,4.0,0.031052789,0.034079316,0.014605263,0.0,0.0
0.0,5.0,0.022368579,0.032763158,0.022237211,0.0,0.0
0.0,1.0,0.033254435066666664,0.007105526,0.017236474,0.0,0.0
0.0,2.0,0.033254435066666664,0.046973632,0.012500158,0.0,0.0
1.0,3.0,0.035394632,0.022500263,0.011973789,0.011447632,0.002236474
1.0,4.0,0.052631368,0.017894842,0.007105526,0.003684579,0.009868421
1.0,5.0,0.054605053,0.012895211,0.004473789,0.006973579,0.006184105
1.0,6.0,0.017894842,0.018684316,0.011973474,0.007631368,0.003289579
1.0,7.0,0.034210684,0.074473526,0.019736526,0.005131842,0.001973947
1.0,1.0,0.033254435066666664,0.016315316,0.040920947,0.001051947,0.011447632
1.0,2.0,0.033254435066666664,0.031447526,0.009473684,0.009473684,0.001578947
2.0,1.0,0.020394895,0.004342368,0.018815947,0.007236947,0.0
2.0,2.0,0.029473579,0.022763632,0.008026947,0.002105368,0.0
2.0,3.0,0.032894789,0.008552789,0.002763421,0.003421263,0.0
2.0,4.0,0.022105263,0.040000053,0.012368211,0.004342368,0.0
2.0,5.0,0.032763421,0.016183895,0.004999895,0.008815895,0.0
2.0,1.0,0.033254435066666664,0.040263421,0.013421053,0.001710632,0.0
2.0,2.0,0.033254435066666664,0.010131211,,0.002368421,0.0
