Tratamentos,Repetição,punção_30,punção_60,punção_90,punção_120,punção_150
0.0,1.0,20.5414613,417.8991597,2.304,,
0.0,2.0,15.5975961,126.4842756,1.6982579,,
0.0,3.0,15.9605648,38.5779644,0.4457119,,
0.0,4.0,12.8680172,1356.1344538,2.2949971,,
0.0,5.0,27.8601155,11.5051773,3.1200118,,
0.0,6.0,12.2765179,4.1352,2.2413119,,
0.0,7.0,,6.7111764,,,
0.0,9.0,,15.0237264,,,
1.0,1.0,14.9077171,3.2314886,1.1286799,2.9134179,1.4369319
1.0,2.0,17.7879005,1.9573131,1.5294003,7.7733333,1.9300965
1.0,3.0,16.5146952,2.2092036,1.5752856,2.6773333,2.0925082
1.0,4.0,14.8294436,11.4457633,2.5835562,,
1.0,5.0,11.5027914,13.5394938,5.7756642,,
1.0,6.0,18.5408471,19.3159697,0.7435905,,
1.0,7.0,,1.8825824,1.5696898,,
1.0,8.0,,2.4055373,,,
2.0,1.0,17.837602,1.8924028,3.3705588,1.0034332,
2.0,2.0,14.133839,6.5376889,4.2806532,2.4894038,
2.0,3.0,8.8494046,4.0439434,0.5986293,1.6492901,
2.0,4.0,9.7515071,28.718753,5.3583354,,
2.0,5.0,21.2723405,5.2625355,1.8945317,,
2.0,6.0,15.6741961,17.800699,,,
2.0,7.0,,15.7789349,,,
3.0,8.0,,16.6519334,,,
2.0,9.0,,33.193484,,,
