Geotextil,Tratamentos,Tensão,Deformacao,Tensao_taboa_radiacao,Tensao_taboa_saturacao,Deformaca_taboa_radiacao,Deformacao_taboa_saturacao,Tensao_Junco,Deformacao_Junco,Tensao_Euricuri,Deformacao_Euricuri
1.0,1.0,135.95,3.06,135.95,135.95,30.63,30.63,46.83,10.65,86.18,9.61
1.0,1.0,82.2,3.9,82.2,82.2,38.99,38.99,64.24,5.98,152.32,7.23
1.0,1.0,91.09,5.41,91.09,91.09,54.1,54.1,84.41,6.54,151.1,5.04
1.0,1.0,95.03,4.57,95.03,95.03,45.75,45.75,86.8,5.36,162.32,6.89
1.0,1.0,133.51,6.44,133.51,133.51,64.43,64.43,80.5,6.03,158.33,7.34
1.0,2.0,69.63,3.86,50.95,72.84,26.18,53.81,2.5,1.05,8.44,1.81
1.0,2.0,55.91,7.27,84.84,77.94,64.44,45.69,0.76,1.7,10.26,2.54
1.0,2.0,47.92,7.47,103.21,63.37,31.33,38.1,1.84,2.87,7.44,4.45
1.0,2.0,48.98,3.37,96.71,54.31,60.67,61.92,3.88,3.36,8.97,2.51
1.0,2.0,61.08,4.28,92.67,95.73,29.6,68.15,3.26,2.26,4.48,2.41
1.0,3.0,58.52,5.7,91.55,86.05,41.04,49.97,8.0,3.75,5.47,3.25
1.0,3.0,51.02,4.39,88.2,52.21,49.6,25.64,1.41,3.52,,
1.0,3.0,69.85,3.22,73.64,69.94,26.67,77.88,2.48,2.4,6.62,2.48
1.0,3.0,52.22,2.35,81.79,88.08,22.42,47.43,,,,
1.0,3.0,46.31,1.72,37.01,123.17,64.56,28.08,,,,
1.0,4.0,38.93,6.46,57.51,95.46,26.57,58.56,,,,
1.0,4.0,53.44,4.46,80.82,52.79,35.67,37.19,,,,
1.0,4.0,37.32,3.79,64.73,109.94,74.46,32.76,,,,
1.0,4.0,44.37,2.5,88.09,84.7,52.07,90.15,,,,
1.0,4.0,26.24,9.89,49.97,52.28,36.82,31.39,,,,
1.0,5.0,33.97,6.57,84.03,79.01,77.61,52.39,,,,
1.0,5.0,42.49,6.3,76.18,58.95,43.32,46.71,,,,
1.0,5.0,24.26,2.39,81.66,71.44,36.19,75.36,,,,
1.0,5.0,39.71,5.0,98.42,100.94,33.07,15.68,,,,
1.0,5.0,17.24,3.85,66.65,84.71,35.01,58.07,,,,
2.0,1.0,46.83,7.1,,,,,,,,
2.0,1.0,64.24,3.99,,,,,,,,
2.0,1.0,84.41,4.36,,,,,,,,
2.0,1.0,86.8,3.58,,,,,,,,
2.0,1.0,80.5,4.02,,,,,,,,
2.0,2.0,2.5,0.7,,,,,,,,
2.0,2.0,0.76,1.14,,,,,,,,
2.0,2.0,1.84,1.91,,,,,,,,
2.0,2.0,3.88,2.24,,,,,,,,
2.0,2.0,3.26,1.51,,,,,,,,
2.0,3.0,4.59,2.5,,,,,,,,
2.0,3.0,1.41,2.35,,,,,,,,
2.0,3.0,2.48,1.6,,,,,,,,
2.0,3.0,0.0,2.15,,,,,,,,
2.0,3.0,0.0,0.0,,,,,,,,
3.0,1.0,86.18,6.41,,,,,,,,
3.0,1.0,152.32,4.82,,,,,,,,
3.0,1.0,151.1,3.36,,,,,,,,
3.0,1.0,162.32,4.59,,,,,,,,
3.0,1.0,158.33,4.89,,,,,,,,
3.0,2.0,8.44,1.21,,,,,,,,
3.0,2.0,10.26,1.7,,,,,,,,
3.0,2.0,7.44,2.97,,,,,,,,
3.0,2.0,8.97,1.67,,,,,,,,
3.0,2.0,4.48,1.61,,,,,,,,
3.0,3.0,5.47,2.17,,,,,,,,
3.0,3.0,0.0,1.91,,,,,,,,
3.0,3.0,6.62,1.65,,,,,,,,
3.0,3.0,0.0,0.0,,,,,,,,
3.0,3.0,0.0,0.0,,,,,,,,
